id_municipio,uf,municipio,easting,northing
2,AC,Acrelândia,-1958411.109,8830611.068
3,AC,Assis Brasil,-2265328.602,8673884.339
4,AC,Brasiléia,-2166625.763,8674405.566
5,AC,Bujari,-2083439.546,8823060.318
6,AC,Capixaba,-2044951.985,8735822.143
7,AC,Cruzeiro do Sul,-2674610.954,9048617.181
8,AC,Epitaciolândia,-2164537.602,8671707.302
9,AC,Feijó,-2384761.066,9001379.939
10,AC,Jordão,-2561636.836,8832754.458
12,AC,Manoel Urbano,-2248455.569,8929974.05
13,AC,Marechal Thaumaturgo,-2677607.508,8884449.085
11,AC,Mâncio Lima,-2702539.044,9048043.634
14,AC,Plácido de Castro,-1982832.074,8774613.489
15,AC,Porto Acre,-2037190.079,8854389.343
16,AC,Porto Walter,-2678550.536,8968886.627
17,AC,Rio Branco,-2066575.531,8805106.767
18,AC,Rodrigues Alves,-2671835.183,9034942.745
19,AC,Santa Rosa do Purus,-2390308.948,8844674.763
21,AC,Sena Madureira,-2175057.029,8907139.067
20,AC,Senador Guiomard,-2054616.813,8785024.367
22,AC,Tarauacá,-2436103.587,8999550.685
23,AC,Xapuri,-2140032.234,8718058.963
25,AL,Anadia,1457023.525,8917144.317
26,AL,Arapiraca,1417620.258,8910316.569
27,AL,Atalaia,1490734.279,8935627.089
28,AL,Barra de Santo Antônio,1546465.198,8946414.984
29,AL,Barra de São Miguel,1501178.49,8898789.66
30,AL,Batalha,1365618.226,8920575.726
32,AL,Belo Monte,1349300.77,8904378.866
31,AL,Belém,1437094.363,8930443.084
33,AL,Boca da Mata,1467714.07,8921544.939
34,AL,Branquinha,1490692.484,8966801.756
35,AL,Cacimbinhas,1382041.868,8950671.268
36,AL,Cajueiro,1474691.424,8948631.457
37,AL,Campestre,1541608.8,9008762.361
38,AL,Campo Alegre,1451782.234,8906136.502
39,AL,Campo Grande,1402541.343,8888283.094
40,AL,Canapi,1315630.481,8983569.585
41,AL,Capela,1482793.197,8946674.351
42,AL,Carneiros,1339055.271,8942314.956
43,AL,Chã Preta,1459280.124,8965104.503
44,AL,Coité do Nóia,1426487.097,8923662.515
45,AL,Colônia Leopoldina,1524373.795,9001263.896
46,AL,Coqueiro Seco,1513592.567,8920993.125
47,AL,Coruripe,1470793.295,8867246.391
48,AL,Craíbas,1406001.0,8925916.548
49,AL,Delmiro Gouveia,1270541.543,8954839.701
50,AL,Dois Riachos,1370402.534,8952786.351
51,AL,Estrela de Alagoas,1407195.951,8951237.497
52,AL,Feira Grande,1414998.447,8894321.6
53,AL,Feliz Deserto,1455772.112,8849100.723
54,AL,Flexeiras,1524179.93,8961524.862
55,AL,Girau do Ponciano,1398423.743,8896359.182
56,AL,Ibateguara,1500175.465,8995132.265
57,AL,Igaci,1420907.875,8934507.244
58,AL,Igreja Nova,1416774.124,8869146.422
59,AL,Inhapi,1298316.392,8972039.424
60,AL,Jacaré dos Homens,1357458.06,8925088.655
61,AL,Jacuípe,1553820.119,9009313.799
62,AL,Japaratinga,1574888.492,8980948.018
63,AL,Jaramataia,1379870.875,8921576.487
64,AL,Jequia Da Praia,1488599.646,8879558.237
65,AL,Joaquim Gomes,1520868.388,8977295.842
66,AL,Jundiá,1541534.298,8999154.389
67,AL,Junqueiro,1437256.405,8892818.852
68,AL,Lagoa da Canoa,1408566.613,8901820.734
69,AL,Limoeiro de Anadia,1434211.273,8911452.776
70,AL,Maceió,1520659.829,8917570.003
71,AL,Major Isidoro,1381606.687,8936291.787
76,AL,Mar Vermelho,1448787.34,8943914.226
72,AL,Maragogi,1579222.178,8989808.398
73,AL,Maravilha,1342429.052,8970611.236
74,AL,Marechal Deodoro,1502561.959,8913164.436
75,AL,Maribondo,1457679.015,8928464.895
77,AL,Mata Grande,1300616.206,8983995.885
78,AL,Matriz de Camaragibe,1545630.988,8974229.884
79,AL,Messias,1509897.617,8948342.973
80,AL,Minador do Negrão,1395742.052,8960277.956
81,AL,Monteirópolis,1352798.775,8928752.15
82,AL,Murici,1498635.208,8958380.962
83,AL,Novo Lino,1530698.171,8998431.128
86,AL,Olho d`Água Grande,1400323.215,8876972.546
84,AL,Olho d`Água das Flores,1347805.044,8936308.428
85,AL,Olho d`Água do Casado,1288917.18,8941291.317
87,AL,Olivença,1359102.776,8937986.449
88,AL,Ouro Branco,1342243.587,8978603.449
89,AL,Palestina,1342816.561,8921016.438
90,AL,Palmeira dos Índios,1421750.255,8949238.402
92,AL,Pariconha,1270818.971,8969203.484
93,AL,Paripueira,1541619.302,8939727.933
94,AL,Passo de Camaragibe,1550903.591,8963916.623
95,AL,Paulo Jacinto,1451319.862,8952739.274
96,AL,Penedo,1424903.924,8850609.255
97,AL,Piaçabuçu,1440913.312,8836924.151
98,AL,Pilar,1496495.684,8925461.004
99,AL,Pindoba,1459394.481,8940692.731
100,AL,Piranhas,1296716.382,8927706.707
102,AL,Porto Calvo,1559927.702,8985333.421
104,AL,Porto Real do Colégio,1396924.647,8862790.811
103,AL,Porto de Pedras,1570043.028,8972935.41
101,AL,Poço das Trincheiras,1349275.696,8961875.521
91,AL,Pão de Açúcar,1331446.882,8913977.555
105,AL,Quebrangulo,1440130.001,8958370.528
106,AL,Rio Largo,1509620.956,8938944.066
107,AL,Roteiro,1493135.27,8899388.443
108,AL,Santa Luzia do Norte,1511048.1,8924808.241
109,AL,Santana do Ipanema,1353653.981,8954797.261
110,AL,Santana do Mundaú,1468479.027,8974296.245
118,AL,Satuba,1511207.696,8928677.816
119,AL,Senador Rui Palmeira,1330203.142,8944170.644
111,AL,São Brás,1390582.472,8870116.507
112,AL,São José da Laje,1487381.46,8991581.952
113,AL,São José da Tapera,1338230.938,8934198.623
114,AL,São Luís do Quitunde,1541106.164,8955991.664
115,AL,São Miguel dos Campos,1480101.074,8905561.591
116,AL,São Miguel dos Milagres,1561778.674,8961399.667
117,AL,São Sebastião,1428480.262,8890420.159
120,AL,Tanque d`Arca,1443162.259,8934393.455
121,AL,Taquarana,1436614.496,8922090.468
122,AL,Teotônio Vilela,1451758.221,8891368.316
123,AL,Traipu,1378785.079,8888063.553
124,AL,União dos Palmares,1490222.151,8975120.67
125,AL,Viçosa,1465101.618,8952428.263
24,AL,Água Branca,1277528.612,8968440.442
126,AM,Alvarães,-1745005.48,9620757.261
127,AM,Amaturá,-2150623.384,9594025.325
166,AM,Anamã,-1346338.794,9588950.762
128,AM,Anori,-1376196.172,9567733.917
129,AM,Apuí,-1162947.601,9177253.183
130,AM,Atalaia do Norte,-2389875.264,9465947.552
131,AM,Autazes,-1084886.614,9591251.571
132,AM,Barcelos,-1528586.178,9885719.508
133,AM,Barreirinha,-851311.877,9683610.701
134,AM,Benjamin Constant,-2369937.279,9465790.487
135,AM,Beruri,-1341589.29,9550807.356
136,AM,Boa Vista do Ramos,-910185.885,9663134.053
137,AM,Boca do Acre,-2025320.072,8955612.144
138,AM,Borba,-1136157.211,9498377.461
139,AM,Caapiranga,-1326505.02,9618283.18
140,AM,Canutama,-1685627.729,9235363.731
141,AM,Carauari,-1990026.912,9418333.641
142,AM,Careiro,-1227316.38,9568004.676
143,AM,Careiro da Várzea,-1162514.686,9634455.077
144,AM,Coari,-1548266.019,9523705.238
145,AM,Codajás,-1423368.031,9557025.724
146,AM,Eirunepé,-2337017.02,9189210.229
147,AM,Envira,-2351267.1,9093092.475
148,AM,Fonte Boa,-1900006.458,9700930.407
149,AM,Guajará,-2664856.126,9060489.499
150,AM,Humaitá,-1522193.201,9127010.683
151,AM,Ipixuna,-2557888.503,9128396.977
152,AM,Iranduba,-1207645.949,9624866.189
153,AM,Itacoatiara,-1007760.1,9643262.558
154,AM,Itamarati,-2144348.486,9227155.441
155,AM,Itapiranga,-960855.611,9689007.113
156,AM,Japurá,-2000969.116,9775604.012
157,AM,Juruá,-1895034.229,9587136.406
158,AM,Jutaí,-1978956.19,9671615.933
159,AM,Lábrea,-1728706.463,9146849.997
160,AM,Manacapuru,-1257355.884,9622261.952
161,AM,Manaquiri,-1238587.244,9605340.198
162,AM,Manaus,-1188498.305,9643034.164
163,AM,Manicoré,-1327819.66,9331563.948
164,AM,Maraã,-1839132.973,9781127.107
165,AM,Maués,-923190.072,9615520.983
167,AM,Nhamundá,-811395.115,9750737.015
